Landuse	Araneae	Geophilomorpha	Lithobiomorpha	Scolopendromorpha	Diplopoda	Blattodea	Coleoptera	Dermaptera	Diptera	Hemiptera	Hymenoptera	Lepidoptera	Orthoptera	Psocodea	Diplura	Protura	Isopoda	Collembola	Acari	Symphyla	Stylommatophora	Gordioidea	Acanthodrilidae	Lumbricidae	Megascolecidae
A	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	15	3	0	0	0	23	0
A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	7	9	0	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	2	3	0	0	0	3	11	0
G	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	13	3	5	0	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	12	0	69	2	0	0	0	0	0
N	0	0	0	0	0	0	1	0	0	3	14	0	0	0	0	0	8	21	42	0	0	0	0	0	0
N	0	0	0	0	0	0	4	0	0	49	0	0	0	0	0	0	7	17	79	0	0	0	0	0	0
N	0	0	0	0	0	0	1	0	0	2	16	0	0	0	0	0	14	28	14	3	0	0	0	0	0
N	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	33	16	2	0	0	12	7	0
N	0	0	0	0	1	0	3	0	1	0	2	0	0	0	0	0	14	3	16	2	0	0	0	0	0
N	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	25	2	14	1	0	0	0	0	0
A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	36	24	1	0	0	0	0	0
A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	6	0	0	0	0	0	0
A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	12	0	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	8	2	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	9	0	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	7	0	0	0	0	0	0
N	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	12	4	54	0	0	0	0	0	0
N	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	156	58	0	0	0	0	0	0
N	0	0	0	0	0	0	3	0	0	1	6	0	0	0	0	0	11	7	9	1	0	0	0	0	0
N	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	14	2	9	1	0	0	0	0	0
N	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	3	21	0	0	0	0	0	0
N	1	0	0	0	0	0	2	0	0	0	36	0	0	0	0	0	9	8	12	0	0	0	0	0	0
A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0
A	1	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	90	0	0	0	0	0	0
A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	32	0	0	0	0	0	0
G	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0
G	0	0	0	0	0	0	3	0	0	7	9	0	0	0	0	0	0	13	16	0	0	0	0	0	0
G	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	28	0	0	0	0	0	0
N	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	0	0	7	6	0	0	0	0	0	0
N	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	34	0	0	0	0	0	0
N	0	0	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	145	0	0	0	0	0	0
N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	6	1	0	0	0	0	0
N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0
N	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	2	3	0	0	0	0	0	0

